image_id,true_label,cluster_id
0,5,9
1,0,2
2,4,8
3,1,6
4,9,3
5,2,1
6,1,0
7,3,9
8,1,0
9,4,4
10,3,5
11,5,1
12,3,5
13,6,7
14,1,0
15,7,4
16,2,1
17,8,9
18,6,7
19,9,4
20,4,8
21,0,2
22,9,4
23,1,6
24,1,1
25,2,1
26,4,3
27,3,5
28,2,4
29,7,4
30,3,5
31,8,9
32,6,7
33,9,4
34,0,9
35,5,9
36,6,7
37,0,9
38,7,3
39,6,7
40,1,0
41,8,9
42,7,3
43,9,4
44,3,5
45,9,3
46,8,9
47,5,9
48,9,5
49,3,5
50,3,5
51,0,2
52,7,3
53,4,6
54,9,3
55,8,9
56,0,2
57,9,4
58,4,8
59,1,6
60,4,8
61,4,9
62,6,7
63,0,2
64,4,8
65,5,9
66,6,7
67,1,6
68,0,2
69,0,5
70,1,0
71,7,4
72,1,0
73,6,7
74,3,5
75,0,2
76,2,5
77,1,6
78,1,6
79,7,4
80,9,5
81,0,9
82,2,1
83,6,7
84,7,3
85,8,9
86,3,5
87,9,4
88,0,2
89,4,4
90,6,7
91,7,4
92,4,8
93,6,7
94,8,9
95,0,2
96,7,4
97,8,9
98,3,5
99,1,6
100,5,9
101,7,3
102,1,0
103,7,4
104,1,0
105,1,6
106,6,7
107,3,5
108,0,2
109,2,7
110,9,8
111,3,5
112,1,0
113,1,6
114,0,2
115,4,4
116,9,3
117,2,1
118,0,2
119,0,2
120,2,5
121,0,2
122,2,1
123,7,4
124,1,0
125,8,9
126,6,7
127,4,4
128,1,0
129,6,7
130,3,5
131,4,4
132,5,0
133,9,3
134,1,5
135,3,9
136,3,5
137,8,6
138,5,5
139,4,4
140,7,4
141,7,4
142,4,3
143,2,1
144,8,5
145,5,9
146,8,9
147,6,7
148,7,4
149,3,5
150,4,0
151,6,7
152,1,0
153,9,4
154,9,3
155,6,7
156,0,2
157,3,9
158,7,8
159,2,1
160,8,5
161,2,9
162,9,3
163,4,4
164,4,8
165,6,7
166,4,4
167,9,4
168,7,4
169,0,9
170,9,3
171,2,1
172,9,3
173,5,9
174,1,0
175,5,9
176,9,3
177,1,6
178,2,2
179,3,5
180,2,0
181,3,9
182,5,5
183,9,4
184,1,0
185,7,4
186,6,7
187,2,1
188,8,8
189,2,1
190,2,1
191,5,9
192,0,2
193,7,4
194,4,8
195,9,4
196,7,8
197,8,9
198,3,5
199,2,1
200,1,0
201,1,6
202,8,9
203,3,9
